"filename", "language", "Docker", "JSON with Comments", "JSON", "TypeScript JSX", "TypeScript", "Markdown", "Prisma", "JavaScript", "CSS", "comment", "blank", "total"
"d:\Projects\iecom-comp\.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 27, 0, 3, 3, 33
"d:\Projects\iecom-comp\Dockerfile", "Docker", 39, 0, 0, 0, 0, 0, 0, 0, 0, 8, 22, 69
"d:\Projects\iecom-comp\README.md", "Markdown", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 12, 29
"d:\Projects\iecom-comp\creds.json", "JSON", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\Projects\iecom-comp\next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 10, 0, 10, 4, 24
"d:\Projects\iecom-comp\package-lock.json", "JSON", 0, 0, 7387, 0, 0, 0, 0, 0, 0, 0, 1, 7388
"d:\Projects\iecom-comp\package.json", "JSON", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 1, 63
"d:\Projects\iecom-comp\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 377, 0, 0, 15, 103, 495
"d:\Projects\iecom-comp\src\components\Profile\EditPictureModal.tsx", "TypeScript JSX", 0, 0, 0, 53, 0, 0, 0, 0, 0, 1, 7, 61
"d:\Projects\iecom-comp\src\components\Profile\EditProfileModal.tsx", "TypeScript JSX", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 9, 98
"d:\Projects\iecom-comp\src\components\Profile\index.tsx", "TypeScript JSX", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 14, 125
"d:\Projects\iecom-comp\src\components\SignIn.tsx", "TypeScript JSX", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 14, 98
"d:\Projects\iecom-comp\src\components\SignUp.tsx", "TypeScript JSX", 0, 0, 0, 120, 0, 0, 0, 0, 0, 1, 17, 138
"d:\Projects\iecom-comp\src\components\admin\ExamAdministration\ExamAttendanceRow.tsx", "TypeScript JSX", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 10, 118
"d:\Projects\iecom-comp\src\components\admin\ExamAdministration\index.tsx", "TypeScript JSX", 0, 0, 0, 253, 0, 0, 0, 0, 0, 0, 22, 275
